const_num,constituency,votes,total_electors,Year,vote_share_percentage,vote_share_percent
94,Bellary City,1016,233284,2018,0.4355206529380497,0.4355206529380497
95,Sandur,1803,211504,2018,0.8524661472123459,0.8524661472123459
96,Kudligi,2055,198220,2018,1.0367268691353042,1.0367268691353042
97,Molakalmuru,1361,231151,2018,0.5887926074297753,0.5887926074297753
98,Challakere,1730,208942,2018,0.8279809707957232,0.8279809707957232
99,Chitradurga,1427,251003,2018,0.5685191013653224,0.5685191013653224
100,Hiriyur,1160,235486,2018,0.49259828609768735,0.49259828609768735
101,Hosadurga,1326,187137,2018,0.7085717949951106,0.7085717949951106
102,Holalkere,398,224444,2018,0.17732708381600756,0.17732708381600756
103,Jagalur,855,190117,2018,0.44972306527033357,0.44972306527033357
104,Harapanahalli,954,203812,2018,0.46807842521539456,0.46807842521539456
105,Harihar,1006,212182,2018,0.47412127324655245,0.47412127324655245
106,Davanagere North,1070,240405,2018,0.4450822570246043,0.4450822570246043
107,Davanagere South,888,206760,2018,0.42948345908299473,0.42948345908299473
108,Mayakonda,1258,190528,2018,0.6602704064494458,0.6602704064494458
109,Channagiri,946,196265,2018,0.48200137569102997,0.48200137569102997
110,Honnali,1250,193335,2018,0.6465461504642201,0.6465461504642201
111,Shimoga Rural,1328,211546,2018,0.6277594471178846,0.6277594471178846
112,Bhadravati,1427,207749,2018,0.6868865794781203,0.6868865794781203
113,Shimoga,875,256373,2018,0.34129959083054767,0.34129959083054767
114,Tirthahalli,1195,184189,2018,0.6487901014718577,0.6487901014718577
115,Shikaripura,903,188266,2018,0.47964050864202773,0.47964050864202773
116,Sorab,1039,184621,2018,0.562774548940803,0.562774548940803
117,Sagar,1511,193884,2018,0.7793319716944153,0.7793319716944153
118,Byndoor,1647,222468,2018,0.7403311936997681,0.7403311936997681
119,Kundapura,1813,199617,2018,0.908239278217787,0.908239278217787
120,Udupi,1089,207458,2018,0.5249255270946408,0.5249255270946408
121,Kapu,839,183004,2018,0.45845992437323774,0.45845992437323774
122,Karkal,1340,181031,2018,0.7402047163193044,0.7402047163193044
123,Sringeri,1015,166026,2018,0.6113500295134496,0.6113500295134496
124,Mudigere,1321,170221,2018,0.7760499585832535,0.7760499585832535
125,Chikmagalur,1224,216230,2018,0.5660639134255191,0.5660639134255191
126,Tarikere,758,182919,2018,0.41439106927109814,0.41439106927109814
127,Kadur,1075,201915,2018,0.5324022484708912,0.5324022484708912
128,Chiknayakanhalli,1116,212217,2018,0.5258768147697875,0.5258768147697875
129,Tiptur,856,181513,2018,0.47159156644427674,0.47159156644427674
130,Turuvekere,954,181202,2018,0.5264842551406718,0.5264842551406718
131,Kunigal,830,190424,2018,0.4358694282233332,0.4358694282233332
132,Tumkur City,1309,259542,2018,0.5043499703323547,0.5043499703323547
133,Tumkur Rural,1530,201767,2018,0.7583004158261757,0.7583004158261757
134,Koratagere,1351,202298,2018,0.6678266715439598,0.6678266715439598
135,Gubbi,457,182902,2018,0.24986058107620474,0.24986058107620474
136,Sira,568,212652,2018,0.26710306039914977,0.26710306039914977
137,Pavagada,794,197250,2018,0.40253485424588087,0.40253485424588087
138,Madhugiri,428,193354,2018,0.22135564818933148,0.22135564818933148
139,Gauribidanur,784,203048,2018,0.3861155982821796,0.3861155982821796
140,Bagepalli,680,197982,2018,0.34346556757685043,0.34346556757685043
141,Chikkaballapur,714,197826,2018,0.36092323557065303,0.36092323557065303
142,Sidlaghatta,958,198207,2018,0.4833330810718088,0.4833330810718088
143,Chintamani,877,214487,2018,0.40888258962081614,0.40888258962081614
144,Srinivaspur,689,206007,2018,0.33445465445348943,0.33445465445348943
145,Mulbagal,646,203419,2018,0.3175711216749665,0.3175711216749665
146,Kolar Gold Field,1750,190668,2018,0.9178257494702835,0.9178257494702835
147,Bangarapet,1127,193234,2018,0.5832306943912562,0.5832306943912562
148,Kolar,1195,225183,2018,0.530679491791121,0.530679491791121
149,Malur,696,181112,2018,0.3842925924289942,0.3842925924289942
150,Yelahanka,2051,387663,2018,0.5290677727820298,0.5290677727820298
151,K.R.Pura,2464,465508,2018,0.5293142115710149,0.5293142115710149
152,Byatarayanapura,2154,440396,2018,0.48910525981162406,0.48910525981162406
